epoch,train_loss,train_dice,train_iou,train_positive_dice,train_empty_specificity,val_loss,val_dice,val_iou,val_positive_dice,val_empty_specificity
1,0.7564979955998894,0.1292396029668018,0.08689025638881612,0.2578696197072526,0.005270092226613966,0.712647402704244,0.11568350987783296,0.0865664459247662,0.1626009890080794,0.06951871657754011
2,0.6773498742142926,0.19768979581791968,0.14743422451710408,0.3330917784276703,0.06719367588932806,0.6701275574550475,0.09773063666571628,0.06671053115805972,0.17531557530974565,0.0213903743315508
3,0.6296166986157054,0.2497111755451053,0.1975238482039503,0.37073752906883894,0.13306982872200263,0.6200279363724742,0.1691245225480526,0.1390832790712243,0.1833978085677423,0.15508021390374332
4,0.5969360810484273,0.2840624298257437,0.2311102255509059,0.38604927826006824,0.1857707509881423,0.6142414480528099,0.0937205134793088,0.06273625862917893,0.1726647235210175,0.016042780748663103
5,0.5635956826925038,0.3053611059603263,0.25044852036390947,0.4219285331482497,0.19301712779973648,0.5947939361523426,0.16336833752843324,0.13244080325052338,0.18809592120511376,0.13903743315508021
6,0.5417724898980393,0.3446730039084342,0.2882836731420989,0.44734805761928775,0.24571805006587616,0.5801181865509629,0.1968422412080462,0.16425695198920917,0.20124167957059716,0.1925133689839572
7,0.5245222668446218,0.3712614788336171,0.31515573874892777,0.4529941603254911,0.2924901185770751,0.5724747457272923,0.23284232495695217,0.2018237178946018,0.20317660150644573,0.2620320855614973
8,0.5066913926973314,0.394806505809171,0.3367619393996367,0.48114707907604504,0.3115942028985507,0.5751992729153594,0.3018108820653734,0.27268584971635823,0.17919476087326588,0.42245989304812837
9,0.49314755451275333,0.39808254490012507,0.3409843520046896,0.49397406157332785,0.30566534914361,0.5931722950742573,0.3690953579118214,0.340505390350759,0.17899117842772166,0.5561497326203209
10,0.48048541896577573,0.4144069185374348,0.35719018311317896,0.5094648084195199,0.3227931488801054,0.5710690603101992,0.26181199062404825,0.22888024649048166,0.21267526152381755,0.31016042780748665
11,0.46820128364916497,0.43119309689359747,0.373217470114604,0.5334153178256827,0.3326745718050066,0.5764255007964902,0.32311977624567734,0.29227969123965203,0.20042084281818817,0.44385026737967914
12,0.4559308569409711,0.42958970451432293,0.3706564635659312,0.5568058094746922,0.3069828722002635,0.5795775833476907,0.25045389319810796,0.21961390692231678,0.19520866180486654,0.3048128342245989
13,0.4368945487550904,0.49975734742116534,0.4406691335851603,0.5958828711881993,0.40711462450592883,0.5959448409530351,0.21286252015157853,0.17885075808952602,0.21723909933200997,0.20855614973262032
14,0.4258048154891077,0.4696641733176461,0.4102175070491611,0.6152213840138725,0.32938076416337286,0.6230645305062883,0.3112899881627525,0.2830294162856444,0.18200317292433718,0.4385026737967914
15,0.4190238435090048,0.4900288618682405,0.4303196589998259,0.6280082183293565,0.3570487483530962,0.6305337408482226,0.2471507211375747,0.21832258445442165,0.18311366780707825,0.31016042780748665
16,0.41498917808112024,0.47574580255313903,0.41652628551944065,0.6364991239444572,0.3208168642951252,0.6173496431096224,0.28843183221302404,0.25998299000821806,0.19569678240172242,0.37967914438502676
17,0.40674610964326563,0.511174218574991,0.4512491184546398,0.6615244899192088,0.3662714097496706,0.6131732998832539,0.22711426693835385,0.19751065583281796,0.19162713460594719,0.2620320855614973
18,0.40264137226717056,0.5282194075949118,0.4706099262996553,0.6695981110641587,0.3919631093544137,0.6000343572418645,0.14504545784345202,0.11371412996155704,0.21636882556966788,0.0748663101604278
19,0.3919246917861054,0.5195403170891554,0.46029758825773204,0.6874570509524518,0.3577075098814229,0.6436215239072425,0.24185017516284427,0.2132625640870021,0.18873050242014552,0.29411764705882354
20,0.382818358400771,0.5215591410189337,0.4629469969775684,0.7059246578488705,0.3438735177865613,0.648105218564725,0.30221938901502393,0.27234407242567615,0.20175756295414074,0.40106951871657753
21,0.3820209290928506,0.5519615179509159,0.49413994827342733,0.7104560924529704,0.39920948616600793,0.6889534518725146,0.27113911045074685,0.2422192376204086,0.18800330882811028,0.35294117647058826
22,0.3694831283949878,0.5780361449306581,0.5212710955446097,0.7369280429996209,0.424901185770751,0.6779264491202054,0.301715738809902,0.2739913006914172,0.1953072640898443,0.40641711229946526
23,0.37109092628743895,0.5843493638323362,0.5275830013645612,0.7381718686253236,0.43610013175230566,0.6801577849850822,0.3080352532477367,0.27756964859568595,0.2134841189141982,0.40106951871657753
