run_id,lineage,best_epoch,last_epoch,selected_threshold,overall_mean_tumor_dice,small_lt_1pct_mean_tumor_dice,medium_1_to_5pct_mean_tumor_dice,large_ge_5pct_mean_tumor_dice,overall_delta_vs_reference,small_delta_vs_reference,medium_delta_vs_reference,large_delta_vs_reference,all_size_gaps_le_0_05,complete_misses,normal_empty_prediction_rate,checkpoint_sha256,test_evaluated
frozen_reference,resumed_from_epoch_10,20,30,0.2,0.4951316962732512,0.32895493248574226,0.6624417783635557,0.6937033565801355,0.0,0.0,0.0,0.0,true,17,0.5561497326203209,05606a0ace6c845ca52a26e8c4a5269bf8e03350dd31d27bbd5e80d55df70c31,false
independent_v2,fresh_epoch_1,33,35,0.25,0.5113904440613517,0.3998633759797167,0.6330372530709371,0.6072223413382152,0.016258747788100523,0.0709084434939745,-0.029404525292618652,-0.08648101524192023,false,23,0.5454545454545454,ad0605a97e716a195b9981ca4f22170048c6a6e82d751f8d783846a400bd0824,false
independent_v3,fresh_epoch_1,33,35,0.2,0.4994012363463918,0.35218988579362814,0.6293762321757863,0.7482716392488015,0.004269540073140596,0.023234953307885938,-0.03306554618776939,0.054568282668666014,false,39,0.7700534759358288,65bb34613f53134ce3b0b9469278e5e5ec1da87d4bbed01e0b2807b21a99ad95,false
