subset,image_id,group_id,size_group,k_i,selected_source,dice,iou,oracle_dice,selector_regret,recall_at_0_10,recall_at_0_30,recall_at_0_50
classifier448+external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6993328732459168,0.5376724442872303,0.6993328732459168,0.0,1,1,1
layercam320+classifier448+external_saliency,IMG000033.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.5955469506292352,0.42404190791287566,0.6993328732459168,0.10378592261668151,1,1,1
layercam320,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7264260768335273,0.11997446393030153,1,1,1
classifier448,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6469224826165336,0.47811191473163306,0.7657969192077962,0.11887443659126262,1,1,1
external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,external_saliency,0.513739059637696,0.3456587236373596,0.513739059637696,0.0,1,1,1
layercam320+classifier448,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7657969192077962,0.15934530630457044,1,1,1
layercam320+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7264260768335273,0.11997446393030153,1,1,1
classifier448+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,classifier448,0.6469224826165336,0.47811191473163306,0.7657969192077962,0.11887443659126262,1,1,1
layercam320+classifier448+external_saliency,IMG000034.jpeg,btxrd-heuristic-000017,medium,27,layercam320,0.6064516129032258,0.4351851851851852,0.7657969192077962,0.15934530630457044,1,1,1
layercam320,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.01285140562248996,0.01285140562248996,0,0,0
external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,external_saliency,0.07876126956463451,0.04099504570511479,0.49062576089603116,0.41186449133139663,1,1,0
layercam320+classifier448,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.01285140562248996,0.01285140562248996,0,0,0
layercam320+classifier448+external_saliency,IMG000048.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,external_saliency,0.04346732765743435,0.02221650998824912,0.05317499780631197,0.00970767014887762,0,0,0
layercam320+classifier448,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.04346732765743435,0.04346732765743435,0,0,0
layercam320+classifier448+external_saliency,IMG000049.jpeg,btxrd-heuristic-000025,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000050.jpeg,btxrd-heuristic-000026,large,27,layercam320,0.7446110590440488,0.5931317655841732,0.8104371097234612,0.06582605067941238,1,1,1
classifier448,IMG000050.jpeg,btxrd-heuristic-000026,large,27,classifier448,0.0,0.0,0.25272137860433375,0.25272137860433375,1,0,0
external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.7857839503764679,0.6305199184933725,1,1,1
layercam320+classifier448,IMG000050.jpeg,btxrd-heuristic-000026,large,27,layercam320,0.7446110590440488,0.5931317655841732,0.8104371097234612,0.06582605067941238,1,1,1
layercam320+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.8104371097234612,0.6551730778403658,1,1,1
classifier448+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.7857839503764679,0.6305199184933725,1,1,1
layercam320+classifier448+external_saliency,IMG000050.jpeg,btxrd-heuristic-000026,large,27,external_saliency,0.15526403188309532,0.0841659915383923,0.8104371097234612,0.6551730778403658,1,1,1
layercam320,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6996361676323946,0.5380310880829016,0.6996361676323946,0.0,1,1,1
classifier448,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,classifier448,0.6848083884658595,0.5206909643128322,0.7163258682246024,0.03151747975874297,1,1,1
external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.787209493983847,0.6490894264745855,0.8254781420765027,0.03826864809265573,1,1,1
layercam320+classifier448,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.7163258682246024,0.08885687419612287,1,1,1
layercam320+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.8254781420765027,0.19800914804802316,1,1,1
classifier448+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,classifier448,0.6848083884658595,0.5206909643128322,0.8254781420765027,0.14066975361064327,1,1,1
layercam320+classifier448+external_saliency,IMG000055.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.6274689940284796,0.4571619812583668,0.8254781420765027,0.19800914804802316,1,1,1
layercam320,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.8485258317554775,0.7369039229504346,0.8485258317554775,0.0,1,1,1
classifier448,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,classifier448,0.5113160100586757,0.34346846846846846,0.7064810657087263,0.1951650556500506,1,1,1
external_saliency,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.8232165206508135,0.6995479925551715,0.8242683080015073,0.001051787350693778,1,1,1
layercam320+classifier448,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,layercam320,0.7907618928078323,0.653933983807349,0.8485258317554775,0.0577639389476452,1,1,1
layercam320+external_saliency,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.8232165206508135,0.6995479925551715,0.8485258317554775,0.025309311104663945,1,1,1
classifier448+external_saliency,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.8232165206508135,0.6995479925551715,0.8242683080015073,0.001051787350693778,1,1,1
layercam320+classifier448+external_saliency,IMG000056.jpeg,btxrd-heuristic-000029,medium,27,external_saliency,0.8232165206508135,0.6995479925551715,0.8485258317554775,0.025309311104663945,1,1,1
layercam320,IMG000071.jpeg,btxrd-heuristic-000037,large,27,layercam320,0.5906520649917687,0.4190959878110716,0.896489501312336,0.30583743632056726,1,1,1
classifier448,IMG000071.jpeg,btxrd-heuristic-000037,large,27,classifier448,0.01790801790801791,0.009034907597535934,0.5687667623394345,0.5508587444314166,1,1,1
external_saliency,IMG000071.jpeg,btxrd-heuristic-000037,large,27,external_saliency,0.7841342486651411,0.644918444165621,0.9158989096441552,0.13176466097901407,1,1,1
layercam320+classifier448,IMG000071.jpeg,btxrd-heuristic-000037,large,27,classifier448,0.01790801790801791,0.009034907597535934,0.5687667623394345,0.5508587444314166,1,1,1
layercam320+external_saliency,IMG000071.jpeg,btxrd-heuristic-000037,large,27,layercam320,0.5906520649917687,0.4190959878110716,0.9158989096441552,0.3252468446523865,1,1,1
classifier448+external_saliency,IMG000071.jpeg,btxrd-heuristic-000037,large,27,classifier448,0.01790801790801791,0.009034907597535934,0.5687667623394345,0.5508587444314166,1,1,1
layercam320+classifier448+external_saliency,IMG000071.jpeg,btxrd-heuristic-000037,large,27,classifier448,0.01790801790801791,0.009034907597535934,0.5687667623394345,0.5508587444314166,1,1,1
layercam320,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,layercam320,0.11051776178314372,0.058491029737036127,0.7358004329450573,0.6252826711619135,1,1,1
classifier448,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,classifier448,0.6677428033360236,0.5012116316639742,0.7100347320003755,0.04229192866435183,1,1,1
external_saliency,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,external_saliency,0.4371380534279843,0.2797035620368157,0.7086438152011922,0.27150576177320795,1,1,1
layercam320+classifier448,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,layercam320,0.11051776178314372,0.058491029737036127,0.7358004329450573,0.6252826711619135,1,1,1
layercam320+external_saliency,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,layercam320,0.11051776178314372,0.058491029737036127,0.7358004329450573,0.6252826711619135,1,1,1
classifier448+external_saliency,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,classifier448,0.6677428033360236,0.5012116316639742,0.7100347320003755,0.04229192866435183,1,1,1
layercam320+classifier448+external_saliency,IMG000076.jpeg,btxrd-heuristic-000039,medium,27,layercam320,0.11051776178314372,0.058491029737036127,0.7358004329450573,0.6252826711619135,1,1,1
layercam320,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,layercam320,0.7925483812624344,0.6563810665068903,0.7925483812624344,0.0,1,1,1
classifier448,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.5008403361344538,0.33408071748878926,0.7071483474250576,0.20630801129060383,1,1,1
external_saliency,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,external_saliency,0.2915519667217226,0.17065310799197939,0.8089732528041415,0.5174212860824188,1,1,1
layercam320+classifier448,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.5008403361344538,0.33408071748878926,0.7071483474250576,0.20630801129060383,1,1,1
layercam320+external_saliency,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,layercam320,0.7925483812624344,0.6563810665068903,0.8089732528041415,0.01642487154170702,1,1,1
classifier448+external_saliency,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.5008403361344538,0.33408071748878926,0.7071483474250576,0.20630801129060383,1,1,1
layercam320+classifier448+external_saliency,IMG000125.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.5008403361344538,0.33408071748878926,0.7071483474250576,0.20630801129060383,1,1,1
layercam320,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,layercam320,0.49085276754924306,0.3252517428350116,0.6300118156754628,0.13915904812621976,1,1,1
classifier448,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.4345127250155183,0.2775574940523394,0.5340283811178685,0.09951565610235025,1,1,1
external_saliency,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,external_saliency,0.16515716568993075,0.0900116144018583,0.37516678439682916,0.2100096187068984,1,1,0
layercam320+classifier448,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.4345127250155183,0.2775574940523394,0.578383641674781,0.14387091665926266,1,1,1
layercam320+external_saliency,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,external_saliency,0.16515716568993075,0.0900116144018583,0.6156026252983293,0.45044545960839855,1,1,1
classifier448+external_saliency,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.4345127250155183,0.2775574940523394,0.5340283811178685,0.09951565610235025,1,1,1
layercam320+classifier448+external_saliency,IMG000126.jpeg,btxrd-heuristic-000063,medium,27,classifier448,0.4345127250155183,0.2775574940523394,0.5340283811178685,0.09951565610235025,1,1,1
layercam320,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.6202259279182356,0.44951267056530214,0.8244552058111381,0.20422927789290246,1,1,1
classifier448,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,classifier448,0.8296352012034599,0.7088688946015425,0.8492366412213741,0.019601440017914196,1,1,1
external_saliency,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,external_saliency,0.07432104562886437,0.038594722895091936,0.7486929243638899,0.6743718787350256,1,1,1
layercam320+classifier448,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.5168217609162491,0.3484555984555985,0.8492366412213741,0.332414880305125,1,1,1
layercam320+external_saliency,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.6202259279182356,0.44951267056530214,0.8244552058111381,0.20422927789290246,1,1,1
classifier448+external_saliency,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,classifier448,0.8296352012034599,0.7088688946015425,0.8492366412213741,0.019601440017914196,1,1,1
layercam320+classifier448+external_saliency,IMG000137.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.5168217609162491,0.3484555984555985,0.8492366412213741,0.332414880305125,1,1,1
layercam320,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.6986255447536037,0.5368366821226173,0.7055640115000845,0.006938466746480798,1,1,1
classifier448,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,classifier448,0.6884936250590272,0.5249639942390782,0.7095543610195942,0.021060735960567012,1,1,1
external_saliency,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,external_saliency,0.7854798223595288,0.6467408585055644,0.7925531914893617,0.007073369129832807,1,1,1
layercam320+classifier448,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,layercam320,0.6986255447536037,0.5368366821226173,0.7095543610195942,0.010928816265990515,1,1,1
layercam320+external_saliency,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,external_saliency,0.7748099044648079,0.632399745385105,0.7925531914893617,0.017743287024553744,1,1,1
classifier448+external_saliency,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,classifier448,0.7095543610195942,0.5498521902714324,0.7925531914893617,0.08299883046976742,1,1,1
layercam320+classifier448+external_saliency,IMG000138.jpeg,btxrd-heuristic-000069,medium,27,external_saliency,0.7748099044648079,0.632399745385105,0.7925531914893617,0.017743287024553744,1,1,1
layercam320,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,classifier448,0.0,0.0,0.0008726003490401396,0.0008726003490401396,0,0,0
external_saliency,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,external_saliency,0.09100841956423934,0.04767355733620632,0.09100841956423934,0.0,0,0,0
layercam320+classifier448,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
classifier448+external_saliency,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,classifier448,0.0,0.0,0.0008726003490401396,0.0008726003490401396,0,0,0
layercam320+classifier448+external_saliency,IMG000144.jpeg,btxrd-heuristic-000073,medium,27,classifier448,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000152.jpeg,btxrd-heuristic-000078,large,27,layercam320,0.0,0.0,0.000835421888053467,0.000835421888053467,0,0,0
classifier448,IMG000152.jpeg,btxrd-heuristic-000078,large,27,classifier448,0.0,0.0,0.15978602163042213,0.15978602163042213,1,0,0
external_saliency,IMG000152.jpeg,btxrd-heuristic-000078,large,27,external_saliency,0.5020644668817876,0.33517094413045495,0.8881515444015444,0.3860870775197568,1,1,1
layercam320+classifier448,IMG000152.jpeg,btxrd-heuristic-000078,large,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320+external_saliency,IMG000152.jpeg,btxrd-heuristic-000078,large,27,layercam320,0.0,0.0,0.5020644668817876,0.5020644668817876,1,1,1
classifier448+external_saliency,IMG000152.jpeg,btxrd-heuristic-000078,large,27,classifier448,0.0,0.0,0.5773320444659256,0.5773320444659256,1,1,1
layercam320+classifier448+external_saliency,IMG000152.jpeg,btxrd-heuristic-000078,large,27,layercam320,0.0,0.0,0.0,0.0,0,0,0
layercam320,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,layercam320,0.0005298013245033113,0.00026497085320614734,0.003578570676770866,0.0030487693522675548,0,0,0
classifier448,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,classifier448,0.0,0.0,0.08440641355819556,0.08440641355819556,0,0,0
external_saliency,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,external_saliency,0.11875938374971257,0.06312822651385513,0.7332280978689818,0.6144687141192693,1,1,1
layercam320+classifier448,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,classifier448,0.0,0.0,0.08440641355819556,0.08440641355819556,0,0,0
layercam320+external_saliency,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,layercam320,0.0005298013245033113,0.00026497085320614734,0.003578570676770866,0.0030487693522675548,0,0,0
classifier448+external_saliency,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,classifier448,0.0,0.0,0.08440641355819556,0.08440641355819556,0,0,0
layercam320+classifier448+external_saliency,IMG000160.jpeg,btxrd-heuristic-000082,medium,24,classifier448,0.0,0.0,0.08440641355819556,0.08440641355819556,0,0,0
layercam320,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,layercam320,0.7292839122841064,0.5739156994502138,0.7292839122841064,0.0,1,1,1
classifier448,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,classifier448,0.49660995266726365,0.3303267528931246,0.6462212486308871,0.1496112959636235,1,1,1
external_saliency,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,external_saliency,0.0,0.0,0.0681286130619655,0.0681286130619655,0,0,0
layercam320+classifier448,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,classifier448,0.49660995266726365,0.3303267528931246,0.7292839122841064,0.23267395961684273,1,1,1
layercam320+external_saliency,IMG000161.jpeg,btxrd-heuristic-000082,medium,27,layercam320,0.7292839122841064,0.5739156994502138,0.7292839122841064,0.0,1,1,1
