epoch,train_loss,train_dice,train_iou,train_positive_dice,train_empty_specificity,val_loss,val_dice,val_iou,val_positive_dice,val_empty_specificity
1,0.7211786237430029,0.20954465215881907,0.17296108525591827,0.23430953659709447,0.18486269256530474,0.6843320022053474,0.30334485820331586,0.2680265404831263,0.22033120541954818,0.3850267379679144
2,0.6385691797761299,0.339123229192118,0.29166605615063856,0.3305956601285034,0.347622237106497,0.6204242789841726,0.4113017591339965,0.3732092966706821,0.28039648171524395,0.5401069518716578
3,0.5857566323547466,0.427318534692915,0.37661024083091893,0.3869869262304169,0.4675150703281983,0.5880208248398053,0.4464691391831056,0.4091855242224634,0.2806524491018575,0.6096256684491979
4,0.5462629899847471,0.45762019740726323,0.40543154083791627,0.4174501375164783,0.49765572672471536,0.5558126541482149,0.4252245368369753,0.384773105345671,0.303034255038137,0.5454545454545454
5,0.5164077025917864,0.48374625186441506,0.4309409835503032,0.44290831667705477,0.5244474212993971,0.5371680571383864,0.536267660056163,0.4982920530832039,0.31497446382823197,0.7540106951871658
6,0.4897903326732606,0.5160574942417331,0.4606766536624409,0.4841178703141349,0.5478901540522438,0.5239967200955291,0.3085955631912277,0.26609002386007435,0.32330952924878703,0.29411764705882354
7,0.47000343087374546,0.5174623633922646,0.46307064808782655,0.5030613541305592,0.5318151373074347,0.5079600656771596,0.4647666826402402,0.42346037317800395,0.3555893421820972,0.5721925133689839
8,0.4472120707165431,0.540280265421805,0.48380527803058876,0.5507899658261267,0.5298057602143336,0.4973979807606926,0.2931891302187152,0.24660501823643646,0.3955063405244247,0.1925133689839572
9,0.43290458808046023,0.5338772406857192,0.4782437835063964,0.5668602497785334,0.5010046885465506,0.49707076363165104,0.4031519870638253,0.36366062557977324,0.3291814508645431,0.47593582887700536
10,0.4170012134647497,0.5464582517118272,0.49150011399795207,0.5927365834049754,0.5003348961821835,0.5014930015625658,0.5283860419903329,0.4841904642069282,0.39690881276419115,0.6577540106951871
11,0.40058483322848015,0.5585205288486619,0.5035752632736932,0.6283264049048466,0.48894842598794375,0.49011070403769974,0.2974396956387281,0.24870038927109558,0.41494633775690326,0.18181818181818182
12,0.38676261521953337,0.5685895550764875,0.5136827854142818,0.6545466752233713,0.48292029470864034,0.4814648898142689,0.4921097011579015,0.4442700897908275,0.4487646610840507,0.5347593582887701
13,0.3741067706318919,0.6221040736666056,0.5680581267210422,0.6777501534883442,0.5666443402545212,0.46767915339482763,0.3716099457845426,0.3240625583182661,0.4340613445510035,0.31016042780748665
14,0.37151212451922655,0.5833831995335732,0.5294297840602443,0.672758941839395,0.4943067649028801,0.5137658732920644,0.6081739815097613,0.5663873971191378,0.4164812344571818,0.7967914438502673
15,0.3675505326962719,0.5659952712154996,0.513015476799939,0.6802633675375281,0.4521098459477562,0.4794883099849012,0.5072132270291166,0.4615293235149024,0.4683484033398006,0.5454545454545454
16,0.3564222596988147,0.6218481538309314,0.5692092756492396,0.705463262318428,0.5385130609511052,0.49576692311268933,0.4927569856701514,0.44355064783134873,0.477243695570075,0.5080213903743316
17,0.3487769693526115,0.6420203761860893,0.59008236604823,0.7223539869037965,0.5619557937039518,0.4834644267501214,0.579596829301906,0.5324636849592317,0.4784262154413306,0.679144385026738
18,0.34306466305507827,0.6666244796281371,0.6156269186337255,0.7319943237929575,0.6014735432016075,0.4852960132203012,0.48836853063974095,0.44164362766672016,0.46296045961587323,0.5133689839572193
