image_id,group_id,gt_area_ratio,size_group,candidate_count,selected_candidate_index,oracle_candidate_index,oracle_best_rank,dice,winner_candidate_dice,prediction_map_minus_winner_dice,oracle_best_single_dice,selected_to_oracle_regret,score_quality_spearman,complete_miss,baseline_dice,baseline_oracle_best_single_dice,baseline_complete_miss,baseline_candidate_count,top_1_oracle_reach,top_1_best_dice,top_1_regret,top_3_oracle_reach,top_3_best_dice,top_3_regret,top_5_oracle_reach,top_5_best_dice,top_5_regret,top_10_oracle_reach,top_10_best_dice,top_10_regret
IMG000001.jpeg,btxrd-heuristic-000001,0.038232421875,medium,63,50,3,41,0.0,0.0,0.0,0.5003081980686255,0.5003081980686255,-0.25343858017190174,1,0.0,0.5003081980686255,1,63,0,0.0,0.5003081980686255,0,0.0,0.5003081980686255,0,0.0,0.5003081980686255,0,0.0,0.5003081980686255
IMG000010.jpeg,btxrd-heuristic-000006,0.0270703125,medium,27,4,17,9,0.6338302009073234,0.6338302009073234,0.0,0.7220941272209412,0.08826392631361779,0.8848786120198396,0,0.6338302009073234,0.7220941272209412,0,27,0,0.6338302009073234,0.08826392631361779,0,0.6338302009073234,0.08826392631361779,0,0.6338302009073234,0.08826392631361779,1,0.7220941272209412,0.0
IMG000017.jpeg,btxrd-heuristic-000009,0.0460546875,medium,45,13,12,2,0.574890609222484,0.574890609222484,0.0,0.5860619469026549,0.011171337680170867,0.9571588763093017,0,0.5860619469026549,0.5860619469026549,0,45,0,0.574890609222484,0.011171337680170867,1,0.5860619469026549,0.0,1,0.5860619469026549,0.0,1,0.5860619469026549,0.0
IMG000018.jpeg,btxrd-heuristic-000009,0.06125,large,36,23,33,10,0.04822650902302427,0.04822650902302427,0.0,0.7046394929131086,0.6564129838900843,0.33385022919964913,0,0.04822650902302427,0.7046394929131086,0,36,0,0.04822650902302427,0.6564129838900843,0,0.1828932893289329,0.5217462035841757,0,0.1828932893289329,0.5217462035841757,1,0.7046394929131086,0.0
IMG000033.jpeg,btxrd-heuristic-000017,0.015087890625,medium,27,23,8,3,0.5199362041467305,0.5199362041467305,0.0,0.6132264529058116,0.0932902487590811,0.8583638583638583,0,0.5199362041467305,0.6132264529058116,0,27,0,0.5199362041467305,0.0932902487590811,1,0.6132264529058116,0.0,1,0.6132264529058116,0.0,1,0.6132264529058116,0.0
IMG000034.jpeg,btxrd-heuristic-000017,0.0124609375,medium,27,26,26,1,0.7264260768335273,0.7264260768335273,0.0,0.7264260768335273,0.0,0.9273504273504273,0,0.7264260768335273,0.7264260768335273,0,27,1,0.7264260768335273,0.0,1,0.7264260768335273,0.0,1,0.7264260768335273,0.0,1,0.7264260768335273,0.0
IMG000048.jpeg,btxrd-heuristic-000025,0.02322265625,medium,81,18,36,26,0.0,0.0,0.0,0.0183081878284455,0.0183081878284455,-0.1752656084456125,1,0.0,0.0183081878284455,1,81,0,0.0,0.0183081878284455,0,0.0,0.0183081878284455,0,0.0,0.0183081878284455,0,0.0,0.0183081878284455
IMG000049.jpeg,btxrd-heuristic-000025,0.0177734375,medium,63,23,33,10,0.0,0.0,0.0,0.05086356268514896,0.05086356268514896,0.1553500304518623,1,0.0,0.05086356268514896,1,63,0,0.0,0.05086356268514896,0,0.0,0.05086356268514896,0,0.0,0.05086356268514896,1,0.05086356268514896,0.0
IMG000050.jpeg,btxrd-heuristic-000026,0.108486328125,large,54,41,12,17,0.0,0.0,0.0,0.8104371097234612,0.8104371097234612,0.3680162707679829,1,0.0,0.8104371097234612,1,54,0,0.0,0.8104371097234612,0,0.3849186963500593,0.42551841337340185,0,0.3849186963500593,0.42551841337340185,0,0.3849186963500593,0.42551841337340185
IMG000055.jpeg,btxrd-heuristic-000029,0.027138671875,medium,45,0,11,13,0.44276147959183676,0.44276147959183676,0.0,0.6996361676323946,0.2568746880405578,0.791978743437232,0,0.44276147959183676,0.6996361676323946,0,45,0,0.44276147959183676,0.2568746880405578,0,0.47566638005159073,0.22396978758080383,0,0.6640625,0.03557366763239456,0,0.6640625,0.03557366763239456
