epoch,train_classification_loss,train_ssc_loss,train_cpm_loss,train_optimization_loss,train_f1,train_sensitivity,train_specificity,val_classification_loss,val_f1,val_sensitivity,val_specificity,cpm_positive_images,mean_cpm_peaks,mean_sam_predicted_iou,mean_cpm_reliability,mean_cpm_foreground_fraction
1,0.7310699022710473,1.5178419397063279,0.0,2.248911839055983,0.6842619745845553,0.7056451612903226,0.6443402545210984,1.4355765199909383,0.7174887892376681,0.8695652173913043,0.45454545454545453,0.0,0.0,0.0,0.0,0.0
2,0.6583796132176035,1.4533314459440614,0.0,2.111711058718178,0.7439896036387263,0.769489247311828,0.7019423978566645,1.4370456387607622,0.6785714285714286,0.7228260869565217,0.5989304812834224,0.0,0.0,0.0,0.0,0.0
3,0.6230393276471953,1.446440892267815,0.4118065606980097,2.481286782134227,0.7577123050259965,0.7345430107526881,0.796383121232418,1.2781404785300159,0.7473684210526316,0.7717391304347826,0.7112299465240641,1488.0,2.682795698924731,0.849526048247372,0.3411081743499224,0.17715725422995973
4,0.5833214795348715,1.436489617965471,0.39940395123761907,2.4192150507614487,0.7923211169284468,0.7627688172043011,0.8379102478231748,1.2703159620125049,0.6686567164179105,0.6086956521739131,0.7914438502673797,1488.0,2.51747311827957,0.8453462267274497,0.31182619685952434,0.1717127082242524
5,0.5193856739471561,1.4262454208376363,0.38329403755010816,2.3289251294334328,0.8378378378378379,0.8125,0.8734092431346283,1.9842908448411787,0.6804733727810651,0.625,0.7914438502673797,1488.0,2.35752688172043,0.8439976773074558,0.33571335720829354,0.1480250236859075
6,0.4658134140565031,1.4191553738995097,0.37824605054538735,2.2632148369177325,0.8698023176550784,0.8575268817204301,0.8861352980576022,1.6813333523963294,0.6837606837606837,0.6521739130434783,0.7486631016042781,1488.0,2.4388440860215055,0.847627131628894,0.3449410725197497,0.14658490886843842
7,0.44698832074618555,1.4158802502591845,0.37799621989549526,2.24086478812274,0.8774811772758385,0.8615591397849462,0.898191560616209,2.0909514434348404,0.7093333333333334,0.7228260869565217,0.6898395721925134,1488.0,2.7553763440860215,0.8553852443933807,0.36468789809668545,0.1512020216569488
8,0.38977961560779095,1.4029666434581212,0.3724417090615836,2.1651879691941716,0.9020812009553053,0.8884408602150538,0.9189551239115874,1.9257232942413014,0.6781609195402298,0.6413043478260869,0.7540106951871658,1488.0,3.4213709677419355,0.8634431618315879,0.3866566278424783,0.15196240818610238
9,0.3375892033847636,1.3959290508773006,0.364750036531291,2.098268287802286,0.9121736181756528,0.9038978494623656,0.9223040857334226,1.511853185400755,0.7091412742382271,0.6956521739130435,0.7379679144385026,1488.0,4.282930107526882,0.8775549565431893,0.42449647710130983,0.14429240251391542
10,0.2898656072540687,1.380465235298788,0.3584156567661815,2.0287465001215956,0.933468422830125,0.928763440860215,0.9390488948425988,1.8394802900768037,0.6966292134831461,0.6739130434782609,0.7433155080213903,1488.0,4.958333333333333,0.8850758110163033,0.453700228021477,0.14091143552216254
