epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_sam_segment_contrastive_loss,train_optimization_loss,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_precision,val_recall,val_f1,val_tp,val_fp,val_fn,val_tn
1,0.5149978184747952,0.7564575645756457,0.7613168724279835,0.7459677419354839,0.7535641547861507,1.5503308082713518,2.0653286280644805,1110,348,378,1145,0.6201437271021782,0.7520215633423181,0.75,0.75,0.75,138,46,46,141
2,0.3948181479590029,0.8346192552834619,0.8428669882839421,0.8219086021505376,0.8322558693433142,1.4934045403956089,1.8882226867266698,1223,228,265,1265,0.6876413191549797,0.7358490566037735,0.6990740740740741,0.8206521739130435,0.755,151,65,33,122
3,0.33588244381483057,0.8668232136866824,0.8838845883180858,0.8440860215053764,0.8635269852182881,1.471089354628852,1.806971801509806,1256,165,232,1328,0.7768321313122486,0.7169811320754716,0.7231638418079096,0.6956521739130435,0.7091412742382271,128,49,56,138
4,0.27546787535616923,0.8933243877893324,0.8879310344827587,0.8998655913978495,0.8938584779706275,1.4577607454946788,1.733228623387641,1339,169,149,1324,1.0035034734359447,0.7331536388140162,0.7972027972027972,0.6195652173913043,0.6972477064220184,114,29,70,158
5,0.1964711377537003,0.9278765514927877,0.9332879509870661,0.9213709677419355,0.927291173486642,1.4495199277957067,1.6459910625107486,1371,98,117,1395,0.9053346062118702,0.7735849056603774,0.7941176470588235,0.7336956521739131,0.7627118644067797,135,35,49,152
6,0.2004518851112879,0.9329084199932909,0.9327956989247311,0.9327956989247311,0.9327956989247311,1.440180274181008,1.640632159268888,1388,100,100,1393,0.9916065739256582,0.7762803234501348,0.8023952095808383,0.7282608695652174,0.7635327635327636,134,33,50,154
7,0.15272997243014033,0.9523649781952365,0.9590723055934516,0.9448924731182796,0.951929587000677,1.429370202583538,1.5821001731039053,1406,60,82,1433,0.7748070195431207,0.8032345013477089,0.8,0.8043478260869565,0.8021680216802168,148,37,36,150
8,0.12118521062761792,0.9584032203958404,0.9614343707713126,0.9549731182795699,0.9581928523263654,1.4218988317906378,1.5430840440793587,1421,57,67,1436,1.1203199622464028,0.7897574123989218,0.8441558441558441,0.7065217391304348,0.7692307692307693,130,24,54,163
9,0.10912429993141513,0.9677960415967796,0.968371467025572,0.9670698924731183,0.9677202420981842,1.4121464363052123,1.5212707332567619,1439,47,49,1446,1.0492917965178656,0.7654986522911051,0.7487179487179487,0.7934782608695652,0.7704485488126649,146,49,38,138
10,0.0755769641978723,0.9761824890976183,0.9739130434782609,0.978494623655914,0.9761984579282601,1.399278686928685,1.4748556527631211,1456,39,32,1454,1.0939609422698304,0.816711590296496,0.7989690721649485,0.842391304347826,0.8201058201058201,155,39,29,148
11,0.10396678628473001,0.9745051995974505,0.9731903485254692,0.9758064516129032,0.9744966442953019,1.389704000054991,1.4936707868333157,1452,40,36,1453,1.1245279763726161,0.7816711590296496,0.8047337278106509,0.7391304347826086,0.7705382436260624,136,33,48,154
12,0.10702996719872795,0.9761824890976183,0.976462676529926,0.9758064516129032,0.9761344537815126,1.3844724078600272,1.4915023741709323,1452,35,36,1458,1.279641456490858,0.7951482479784366,0.8103448275862069,0.7663043478260869,0.7877094972067038,141,33,43,154
13,0.07842684580287243,0.981549815498155,0.977348434377082,0.9858870967741935,0.9815991970558715,1.3754524037281886,1.453879249000038,1467,34,21,1459,1.1549529479469787,0.8032345013477089,0.7817258883248731,0.8369565217391305,0.8083989501312336,154,43,30,144
14,0.07223905527102785,0.9822207312982221,0.979933110367893,0.9845430107526881,0.9822326516929266,1.3701832137862096,1.4424222680582757,1465,30,23,1463,1.252339332763284,0.7897574123989218,0.7944444444444444,0.7771739130434783,0.7857142857142856,143,37,41,150
15,0.09598988360095057,0.9792016101979202,0.9778820375335121,0.980510752688172,0.9791946308724833,1.3660821035783988,1.462071987483201,1459,33,29,1460,1.255739182069095,0.7870619946091644,0.8220858895705522,0.7282608695652174,0.7723342939481268,134,29,50,158
16,0.04862070070974725,0.9896008050989601,0.9879437374413932,0.991263440860215,0.98960080509896,1.3630785678410977,1.4116992665999057,1475,18,13,1475,1.681287474692502,0.7681940700808625,0.8951612903225806,0.6032608695652174,0.7207792207792207,111,13,73,174
17,0.05513761849459569,0.9899362629989936,0.9886058981233244,0.991263440860215,0.9899328859060403,1.359803325209477,1.414940945105003,1475,17,13,1476,1.482270468172538,0.7574123989218329,0.7797619047619048,0.7119565217391305,0.7443181818181819,131,37,53,150
