epoch,train_loss,train_acc,train_precision,train_recall,train_f1,train_sam_segment_contrastive_loss,train_optimization_loss,train_tp,train_fp,train_fn,train_tn,val_loss,val_acc,val_precision,val_recall,val_f1,val_tp,val_fp,val_fn,val_tn
1,0.5312746330176857,0.7423683327742369,0.7503477051460362,0.7251344086021505,0.7375256322624744,1.6202454074777803,2.151520047366779,1079,359,409,1134,0.7146047074744042,0.7250673854447439,0.7135416666666666,0.7445652173913043,0.7287234042553192,137,55,47,132
2,0.4153077026914016,0.8258973498825898,0.8348306841741534,0.8118279569892473,0.823168654173765,1.5642637314809231,1.9795714290787643,1208,239,280,1254,0.9453533775311835,0.6495956873315364,0.6015037593984962,0.8695652173913043,0.711111111111111,160,106,24,81
3,0.3428348253653372,0.8560885608856088,0.8684759916492694,0.8387096774193549,0.8533333333333334,1.5394852182181207,1.882320044826886,1248,189,240,1304,0.7726840831814928,0.7250673854447439,0.7928571428571428,0.6032608695652174,0.6851851851851851,111,29,73,158
4,0.2916560800591279,0.8846024823884603,0.8849259757738897,0.883736559139785,0.8843308675184937,1.5266826323785347,1.8183387096062422,1315,171,173,1322,1.2348398712087185,0.6981132075471698,0.78125,0.5434782608695652,0.641025641025641,100,28,84,159
5,0.2106305393877242,0.9174773565917478,0.9207317073170732,0.9133064516129032,0.917004048582996,1.5212199345990096,1.7318504741939718,1359,117,129,1376,0.8580868401505212,0.77088948787062,0.8113207547169812,0.7010869565217391,0.7521865889212828,129,30,55,157
6,0.1923834133750307,0.933579335793358,0.9387755102040817,0.9274193548387096,0.9330628803245435,1.5132566111976276,1.7056400248576105,1380,90,108,1403,1.0663350432605898,0.7574123989218329,0.7670454545454546,0.7336956521739131,0.7500000000000001,135,41,49,146
7,0.1571126203562992,0.9463267359946327,0.9529331514324693,0.9388440860215054,0.9458361543669601,1.5081443395116054,1.6652569572663498,1397,69,91,1424,1.0361709557139276,0.7897574123989218,0.7849462365591398,0.7934782608695652,0.7891891891891891,146,40,38,147
8,0.13295784348881948,0.9580677624958068,0.9570757880617036,0.959005376344086,0.9580396106075864,1.498342751497877,1.6313005989422427,1427,64,61,1429,1.5131795067845428,0.7493261455525606,0.7898089171974523,0.6739130434782609,0.7272727272727273,124,33,60,154
9,0.11670104236611281,0.9664542099966454,0.9657718120805369,0.9670698924731183,0.9664204163868367,1.4768620071078753,1.593563049152773,1439,51,49,1442,1.2107679495114854,0.77088948787062,0.7828571428571428,0.7445652173913043,0.7632311977715877,137,38,47,149
10,0.09713339920766026,0.9728279100972828,0.971198928332217,0.9744623655913979,0.9728279100972828,1.4615100246651882,1.55864342495839,1450,43,38,1450,1.5526582767641695,0.7681940700808625,0.8266666666666667,0.6739130434782609,0.7425149700598803,124,26,60,161
11,0.1266690398084056,0.9657832941965784,0.9644772117962467,0.9670698924731183,0.965771812080537,1.4575661868256475,1.5842352244233957,1439,53,49,1440,1.2192087043878657,0.7735849056603774,0.8048780487804879,0.717391304347826,0.7586206896551724,132,32,52,155
12,0.14027666530063138,0.9671251257967125,0.9639519359145527,0.9704301075268817,0.9671801741460148,1.4601676806048478,1.6004443449884573,1444,54,44,1439,1.2665274604619976,0.8086253369272237,0.8424242424242424,0.7554347826086957,0.7965616045845272,139,26,45,161
13,0.101234587506827,0.9785306943978531,0.9778523489932885,0.9791666666666666,0.9785090664875755,1.460023904134377,1.5612584940549834,1457,33,31,1460,1.4544297772709855,0.7628032345013477,0.7553191489361702,0.7717391304347826,0.7634408602150538,142,46,42,141
14,0.1037834890347683,0.981549815498155,0.9767132401862941,0.9865591397849462,0.9816115011701773,1.4510125500267377,1.5547960384601562,1468,35,20,1458,1.6775325352110544,0.7654986522911051,0.8169934640522876,0.6793478260869565,0.7418397626112759,125,28,59,159
15,0.12895412001718623,0.9768534048976854,0.9758551307847082,0.9778225806451613,0.9768378650553876,1.4487543285052833,1.5777084511023105,1455,36,33,1457,1.6897506012303873,0.7951482479784366,0.8292682926829268,0.7391304347826086,0.7816091954022988,136,28,48,159
16,0.09115272725456154,0.981549815498155,0.9805499664654594,0.9825268817204301,0.9815374286673381,1.44841887100772,1.5395716026065815,1462,29,26,1464,1.7995139668894402,0.7762803234501348,0.8176100628930818,0.7065217391304348,0.7580174927113703,130,29,54,158
17,0.05983302191843258,0.985910768198591,0.9898373983739838,0.9818548387096774,0.9858299595141701,1.437103071736906,1.4969360933866322,1461,15,27,1478,1.6635641313945637,0.7520215633423181,0.7911392405063291,0.6793478260869565,0.7309941520467838,125,33,59,154
18,0.10426819779181798,0.9798725259979872,0.9766355140186916,0.9831989247311828,0.9799062290689886,1.4135316495281762,1.5177998478866455,1463,35,25,1458,1.8821755156654028,0.7762803234501348,0.7853107344632768,0.7554347826086957,0.7700831024930748,139,38,45,149
19,0.09501196714982642,0.9842334786984234,0.9832327297116029,0.9852150537634409,0.9842228935884525,1.3971155162790825,1.4921274845146302,1466,25,22,1468,2.10651596060762,0.7681940700808625,0.7333333333333333,0.8369565217391305,0.7817258883248731,154,56,30,131
