method,image_id,group_id,tumor,size_group,dice,candidate_source,candidate_oracle_dice_common320,selector_regret_common320,primary_failure,all_failure_flags,candidate_supply_failure,selector_choice_failure,complete_miss,over_segmentation,under_segmentation,wrong_anatomical_structure,fragmented_mask,missing_component,normal_false_positive,small_lesion_specific_failure
direct_rich_gallery,IMG000161.jpeg,btxrd-heuristic-000082,1,medium_1_to_5pct,0.49689184247762286,classifier448:layercam,0.7394014962593516,0.24279154359208793,selector_choice_failure,selector_choice_failure;over_segmentation;fragmented_mask,0,1,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000200.jpeg,btxrd-heuristic-000098,1,medium_1_to_5pct,0.9085775594330566,external_saliency,0.9093598140714135,0.0015521387295520661,none,,0,0,0,0,0,0,0,0,0,0
direct_rich_gallery,IMG000201.jpeg,btxrd-heuristic-000098,1,medium_1_to_5pct,0.6857394366197183,external_saliency,0.7807403572353093,0.09642495729224076,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000202.jpeg,btxrd-heuristic-000099,1,medium_1_to_5pct,0.8521820467101224,layercam,0.8822994360560306,0.0283583154482433,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000222.jpeg,btxrd-heuristic-000109,1,medium_1_to_5pct,0.556915905376805,classifier448:layercam,0.7545157405814553,0.19820215590162293,fragmented_mask,fragmented_mask,0,0,0,0,0,0,1,0,0,0
direct_rich_gallery,IMG000244.jpeg,btxrd-heuristic-000120,1,small_lt_1pct,0.0,layercam,0.03361344537815126,0.03361344537815126,candidate_supply_failure,candidate_supply_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;missing_component;small_lesion_specific_failure,1,0,1,1,0,1,1,1,0,1
direct_rich_gallery,IMG000245.jpeg,btxrd-heuristic-000121,1,medium_1_to_5pct,0.7444865851945498,layercam,0.803425457376411,0.059105226579440284,none,,0,0,0,0,0,0,0,0,0,0
direct_rich_gallery,IMG000260.jpeg,btxrd-heuristic-000128,1,small_lt_1pct,0.0,classifier448:layercam,0.24216524216524216,0.24216524216524216,small_lesion_specific_failure,complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,0,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000275.jpeg,btxrd-heuristic-000137,1,small_lt_1pct,0.04230388144574161,layercam,0.19430485762144054,0.12054259245904003,small_lesion_specific_failure,over_segmentation;fragmented_mask;missing_component;small_lesion_specific_failure,0,0,0,1,0,0,1,1,0,1
direct_rich_gallery,IMG000279.jpeg,btxrd-heuristic-000140,1,small_lt_1pct,0.0,layercam,0.013140604467805518,0.0035561877667140826,candidate_supply_failure,candidate_supply_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,1,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000285.jpeg,btxrd-heuristic-000145,1,small_lt_1pct,0.3633479882019033,external_saliency,0.4588744588744589,0.0908189033189033,over_segmentation,over_segmentation;fragmented_mask,0,0,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000292.jpeg,btxrd-heuristic-000150,1,small_lt_1pct,0.0016985825710657924,external_saliency,0.029950083194675542,0.02832190083825162,candidate_supply_failure,candidate_supply_failure;over_segmentation;fragmented_mask;small_lesion_specific_failure,1,0,0,1,0,0,1,0,0,1
direct_rich_gallery,IMG000300.jpeg,btxrd-heuristic-000156,1,small_lt_1pct,0.06413436326270286,layercam,0.5224839400428265,0.4478706552384589,selector_choice_failure,selector_choice_failure;over_segmentation;fragmented_mask;missing_component;small_lesion_specific_failure,0,1,0,1,0,0,1,1,0,1
direct_rich_gallery,IMG000306.jpeg,btxrd-heuristic-000160,1,small_lt_1pct,0.19668271803103263,external_saliency,0.23521932612841703,0.03661653171723939,over_segmentation,over_segmentation;fragmented_mask,0,0,0,1,0,0,1,0,0,0
direct_rich_gallery,IMG000320.jpeg,btxrd-heuristic-000167,1,small_lt_1pct,0.0,layercam,0.15,0.15,small_lesion_specific_failure,complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,0,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000327.jpeg,btxrd-heuristic-000172,1,small_lt_1pct,0.0,layercam,0.281767955801105,0.281767955801105,small_lesion_specific_failure,complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,0,0,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000328.jpeg,btxrd-heuristic-000173,1,small_lt_1pct,0.9178013616339608,external_saliency,0.93711467324291,0.020551784077281088,none,,0,0,0,0,0,0,0,0,0,0
direct_rich_gallery,IMG000337.jpeg,btxrd-heuristic-000180,1,small_lt_1pct,0.0,layercam,0.15456674473067916,0.15456674473067916,small_lesion_specific_failure,complete_miss;over_segmentation;wrong_anatomical_structure;small_lesion_specific_failure,0,0,1,1,0,1,0,0,0,1
direct_rich_gallery,IMG000338.jpeg,btxrd-heuristic-000181,1,small_lt_1pct,0.0,classifier448:layercam,0.4326923076923077,0.4326923076923077,selector_choice_failure,selector_choice_failure;complete_miss;over_segmentation;wrong_anatomical_structure;fragmented_mask;small_lesion_specific_failure,0,1,1,1,0,1,1,0,0,1
direct_rich_gallery,IMG000340.jpeg,btxrd-heuristic-000183,1,small_lt_1pct,0.3366108465202028,layercam,0.8717948717948718,0.5155058464667005,selector_choice_failure,selector_choice_failure;over_segmentation,0,1,0,1,0,0,0,0,0,0
