epoch,train_loss,train_dice,train_iou,train_positive_dice,train_empty_specificity,val_loss,val_dice,val_iou,val_positive_dice,val_empty_specificity
1,0.7245784360904175,0.2894258055813814,0.2565712362362611,0.20616822379197733,0.3724045545880777,0.6725173264822227,0.42877356143733564,0.39400338847441174,0.22866843094158432,0.6256684491978609
2,0.6411339562237562,0.4032184781562268,0.35826928087243676,0.3131682012302813,0.49296718017414604,0.6273031419499544,0.37427668169020323,0.3357346428814281,0.29269917673714785,0.45454545454545453
3,0.5925523680114618,0.42328293901307473,0.3742092643010808,0.3627731420822089,0.4835900870730074,0.5852889924679162,0.3348511431706175,0.29637172380071425,0.25668355494575656,0.4117647058823529
4,0.5550408400132807,0.4333014416518311,0.3819158673697206,0.3935965006771597,0.47287340924313465,0.5554259286093904,0.410981947768039,0.37039213577976365,0.3177951201918639,0.5026737967914439
5,0.5219220889570408,0.4741998294789248,0.4216271017553772,0.4331919929201415,0.5150703281982585,0.5290344100435468,0.4277625640206581,0.38536196328559014,0.31358647338398127,0.5401069518716578
6,0.49515571476468623,0.47863206143513776,0.42529990762414044,0.45618424622542614,0.5010046885465506,0.5064956394809919,0.4835254580215142,0.4418589611350366,0.3281953527956553,0.6363636363636364
7,0.47162241539432076,0.5062511636406727,0.4518166176851779,0.4920260164120429,0.5204286671131949,0.49744195533248614,0.40137286255301813,0.3566408503770507,0.3690724479763404,0.43315508021390375
8,0.45591781632046857,0.4880418596393718,0.4340622395750964,0.5079655750954554,0.4681848626925653,0.4935970438137209,0.28804093695640665,0.24398614871780924,0.3470825378013694,0.22994652406417113
9,0.435891710064308,0.5303872683101435,0.4758515396736205,0.5470997546268866,0.5137307434695244,0.5112216583480732,0.36815808066781963,0.3222496798738958,0.3401448227789091,0.39572192513368987
10,0.42057351706532653,0.5510696123326957,0.4961261688883134,0.5697167326448365,0.5324849296718017,0.49322820946855367,0.46577342308435155,0.42243504267175885,0.3847931438814039,0.5454545454545454
