epoch,train_loss,train_dice,train_iou,train_positive_dice,train_empty_specificity,val_loss,val_dice,val_iou,val_positive_dice,val_empty_specificity
1,0.7204933154906894,0.2049536502656401,0.16725405952610378,0.2378809265828186,0.17213663764233086,0.6761550557902559,0.35965699433359355,0.3234757350658585,0.2414823084583749,0.47593582887700536
2,0.6360316766224144,0.3335815211712078,0.28584767559896773,0.3396549132399823,0.3275284661754856,0.6167475356245941,0.38797686766809014,0.3479150828854298,0.2822794451226302,0.4919786096256685
3,0.5850168453971238,0.42179339347326156,0.37125500171112746,0.3893589352588054,0.45411922304085733,0.5885934905221841,0.41040321125344253,0.3729689903971911,0.2840195183417293,0.5347593582887701
4,0.5452990362964913,0.44893050268371576,0.3953744851135657,0.4309555282154887,0.46684527796383124,0.5512445506381217,0.36105674473328364,0.31911414098773316,0.2986524529431177,0.42245989304812837
5,0.5165827230733739,0.463413116442079,0.4090710092377054,0.45526511758730426,0.4715338245144005,0.5444176640472,0.4738866910243064,0.4331597673869934,0.3413693606853485,0.6042780748663101
6,0.49248479061261075,0.5037117922515557,0.4492624626558415,0.48021830952572386,0.5271265907568654,0.5144188669171295,0.45772049415680527,0.41541718527207405,0.3250777327474742,0.5882352941176471
7,0.4674340213296878,0.5411893133547673,0.4867797451845474,0.5169928327393067,0.565304755525787,0.5066131191112282,0.5464994700128498,0.5055094496259149,0.36277881718200183,0.7272727272727273
8,0.4438266188396139,0.5597645279466206,0.5044780472447832,0.5636142819930346,0.5559276624246483,0.4963033438692838,0.4893914297306288,0.4429883862163154,0.4106751084327698,0.5668449197860963
9,0.43054294898101286,0.5497372663051804,0.49351314561620613,0.576456175007235,0.5231078365706631,0.4997256738798959,0.23068559212842207,0.18421589953574974,0.34013236022513843,0.12299465240641712
10,0.42079839728215285,0.5312264859676361,0.4760831296743862,0.5823831648468478,0.48024112525117213,0.4935971911384089,0.44627254855921966,0.3974545766722481,0.4161256198649821,0.47593582887700536
11,0.3966814054314301,0.5933128138669822,0.5383895076548881,0.6462805696901317,0.5405224380442063,0.4978668316997929,0.6100218223139848,0.5681740599208046,0.3984679082870329,0.8181818181818182
12,0.3876845698974869,0.56401673218261,0.5094877789481219,0.6534501783533122,0.47488278633623576,0.49905955936066865,0.5016476897035809,0.46149591261124356,0.40277876500445214,0.5989304812834224
13,0.3824378261526972,0.5938267031199018,0.5387541202541487,0.6560466345972757,0.5318151373074347,0.4705431318347345,0.5345731323932345,0.4878814605359404,0.4419925642384063,0.6256684491978609
14,0.36697128157174175,0.601965162446938,0.5487485675354286,0.688479930564255,0.5157401205626256,0.48240758643317416,0.5395931998553944,0.4936398447182461,0.43581019410782534,0.6417112299465241
15,0.36262286482182016,0.611924727204581,0.5595063020502389,0.6929755376436825,0.5311453449430676,0.4867515154283323,0.44854791274783706,0.39997584721321966,0.4587569249712903,0.4385026737967914
16,0.35286890452678316,0.625688408053749,0.5735168586147987,0.7118125855556554,0.5398526456798393,0.4702595808114003,0.41969944106921997,0.3702080659467898,0.4658070174248322,0.37433155080213903
17,0.3484366342290381,0.654091038007298,0.6025761431473607,0.7243584503701876,0.5840589417280643,0.47820376723281777,0.4002558734734822,0.3498206543025699,0.4863854815130648,0.3155080213903743
18,0.3421316997831358,0.6646535465358209,0.6137906137287756,0.7361103578356746,0.5934360348292029,0.4879157451606504,0.5001851729144947,0.45147293942636557,0.46504727524259815,0.5347593582887701
19,0.34591247099871925,0.631584872608815,0.5798163601053277,0.7276575912702117,0.535833891493637,0.49343356851618886,0.34078792948134073,0.2929319414569607,0.44256695003613183,0.24064171122994651
20,0.34360900612254947,0.6403808708720382,0.589151293749139,0.7311662312556979,0.549899531145345,0.48155227407933565,0.5503815242222377,0.5006276102400211,0.49017143767812976,0.6096256684491979
21,0.33461176512306146,0.707962174417188,0.6578965474098811,0.7523086205233277,0.6637642330877428,0.48562680389681917,0.5283669543342037,0.4819457030468461,0.46208771221015765,0.5935828877005348
22,0.33402259247449373,0.674690026058842,0.6245531082273289,0.7535288674582727,0.5961152042866711,0.48596369963129254,0.5591026395157662,0.5142901976796174,0.4860167351105939,0.6310160427807486
23,0.32544583809011857,0.7290395332918356,0.680060765660077,0.7777330893273926,0.680509042196919,0.4873885542877279,0.6186421181897102,0.5747239564890322,0.4756316544449511,0.7593582887700535
24,0.3246703895195664,0.7429007809460463,0.6944376822687243,0.7799645283412278,0.7059611520428667,0.48032453551767973,0.5734347834420012,0.5256248158264675,0.48774077808079513,0.6577540106951871
25,0.3201847252470661,0.7576965717451959,0.7104911131972397,0.7907886240951797,0.724715338245144,0.500266265194371,0.6351949895488606,0.5903290115357088,0.46552902784036554,0.8021390374331551
26,0.3220757453064117,0.7449249123135336,0.6972548774287669,0.7880518502525745,0.7019423978566645,0.5032205090047214,0.6231448639041711,0.5782090211742067,0.4792757748927198,0.7647058823529411
27,0.317910961679307,0.7588007929580238,0.71218770064591,0.7983771181775328,0.7193569993302076,0.5496275622568362,0.5828864588167857,0.5376690633453517,0.4578851890788915,0.7058823529411765
28,0.31540481433777234,0.7813719984710077,0.7355251986482166,0.802600749012156,0.7602143335565975,0.5243975526560349,0.5838976807671415,0.5388941898178862,0.4707936868071556,0.6951871657754011
29,0.31362982367717435,0.7742807885137671,0.7287881211201164,0.8112439608758656,0.7374413931681179,0.5172965855932621,0.6162235127144425,0.5721179495924567,0.4761898000927075,0.7540106951871658
30,0.3124043530803605,0.7801321003709772,0.7353364900229402,0.8128856059622942,0.7474882786336235,0.5219920949151895,0.4391111435112606,0.3897369046898865,0.4777729990689651,0.40106951871657753
